no,tweet,label
106,"Tetaplah ngataken bujur amin gia dor, megati dingen rusur si terjadi e sitik pe la bagi ukur",positive
107,Ndiganlah merdekana adi bas pusuh  e kap saja ngenca lalap o rondong kalak :),negative
108,Me enggo rempet terginting-ginting kerina jelma ndai dah,neutral
109,"ue, pagi aku reh",neutral
110,"uei, pagi kam reh ku rumah ya",neutral
111,gadung macik macik pe dayakendenga,negative
112,paksana la ka ku suan gadong jolar ta,neutral
113,meherga kel paksana minak goreng,negative
114,"ja pe merga minak goreng, lanai tertukur kita pe",negative
115,banci me istirahat le aron ,positive
116,baci nge kap ndu Karo FC ku liga 2 nake ?,neutral
117,mejile kel beka buluh si pakei pak Jokowi sanga ia ku Taneh Karo,positive
118,obat kai pake ndu man nyemprot rimo <USER> ?,neutral
119,obat kai pe lanai malem,negative
120,maun maun aku minem I kede sidah,neutral
121,"mon mon la ka minem peh, perban lalit sen ta",negative
122,"ndauh nari nge ku tatap pak jokowi sanga ia lewat ku ta, ",neutral
123,"labo dalih ndoh lebe, kari me baci kita ersada I pelaminen,",neutral
124,kai nge merga kena ? ,neutral
125,enggo seh tugun karo marga bage pe ginting marga,neutral
126,isei artis karo favorit kena nake ?,neutral
127,ise perkolong kolong na ?,neutral
128,"beltek ta enggo melihe, tapi nakan lenga reh tiga nari",negative
129,"kai lah ban dahin ta  ya?, maka lanai kita melihei sa",negative
130,"dung kam minem tuak, oula kam mis ku rumah, mbau denga babah ndu",negative
131,la kap tertambari pinakit adi kam pe malas man ras kisat minum obat,negative
132,"gundari pe rimo rimo enggo bali bagi ngasuh harimau, la bandu pas pan na kita",negative
133,"perban la pompa pompa, rimau ku seh mbuai na nartar",negative
134,gua kap kena adi siusulken sada stadion mbaru man kandang Karo FC ?,positive
135,uga kin bena bena na kecelakaan motor ah ndai ?,negative
136,"perjuma juma tomat ras lacina dat duit sekelai nda, sebeb paksana merga barang I pajak roga",positive
137,"cina merga, tapi cina ku lalit man mbabaan ku tiga, karena mbuai meseng",neutral
138," cina kitik, cina megara ras cina ratah  paksana meherga, emaka percina cina dat duit",positive
139,"""tigan oh nande tigan, erbarung kita nindu tigan, si suan tomat lacina"". Ikutken min lagu ena, pasti dat duit, heheh",positive
140,merga gia minak goreng terpaksa situkur,negative
141,"enggo meherga, susah ka man daramen, sel kel kita sekeleinda",negative
142,"riah ken saja ukurta teman, gelah ula kita stress perban zaman enda",positive
143,"adi la kam sempat ku rumah ta, telponi saja kari ya",neutral
144,arah ja kin rumah ndu e ?,neutral
145,banci masuk motor ku bas ?,neutral
146,"baci, tapi la motor fuso ya, heheheh",neutral
147,mejile kel suara lyodra ya,positive
148,si mejilei na waktu ia ngerendeken lagu mbiring manggis,positive
149,"ja pe kam tading, mari sidukung lyodra taneh karo nari nake I Indonesia Idol",neutral
150,mbera juara 1 kel lyodra,positive
151,"la kap siteh harga barang kai si bakalan meherga, mon mon rimo, mon mon ka cina, hmmmmm adi eteh me enggo bayak",neutral
152,"emaka ola, ola ola, ola gelang ken kena",neutral
153,"megekgek ei kurang jelassa, mungkin lit si banci perjelassa",neutral
154,"labo dalih , lit nge pagi upah megenggeng",neutral
155,"megenggeng, kai ertina ?",neutral
156,"man kai tanggal cantek, adi labo kam nggit man bangku",neutral
157,"lit ras lalit rondong ndu, tetaplah nikmatindu hidup",neutral
158,"man kai lit rondong, tapi toxic",negative
159,"selamat ya aron, mbera kerina erdalan alu mehuli",positive
160,otak ku liang melas datas ngutip rimo :(,negative
161,"bujur melala, sehat sehat kam",positive
162,kena kai kam e ma nangin ?,negative
163,"mejuah juah kam turang impal, senina ija pe kam ringan.",positive
164,let nge pagi malem na,positive
165,"apai akap ndu madiin, nuci, nggosok, nuci piring atau ngerondong ?",neutral
166,ula ukuri si la man ukuren,neutral
167,la kam mulih natal ras tahun baru enda ?,neutral
168,"bapa kami tambar malem merga na, enggo alo alo ndu rimo kami",positive
169,lanai gejap sebulan nari neggo ganti tahun,neutral
170,ise guru favorit ndu sanga SD ya ?,neutral
171,"la padah pakai sen ena ndai, adi sen haram nge",negative
172,"en tabeh nari nge akap koruptor, pake na sen kami",negative
173,"ndauh nari idah mejile, deheri mejin",negative
174,ndoh kel rumah ndu pe ,negative
175,rimo erban sa jaya tanah karo nake,positive
176,rimau ka si erban sa tanah karo guntar,negative
177,asakai pe sen la erbias bias adi erjudi,negative
178,"sendah man, pagina lang",negative
179,"kol pe murah, emaka per juma si kutiga kol na, mbuai rutang",negative
180,"nina sekolah gratis, tapi gua maka na mbuai denga anak anak si ngadi sekolah",negative
181,gua pe baci gundari,neutral
182,uga pe la teng teng,negative
183,"ue ningen saja ya, maka enggo pedas dung",neutral
184,arah ja pe enggo kap kicat aku e,negative
185,singuda nguda bandung seh kel jile na,positive
186,"meriah sikota medan, riahan denga kota jakarta ",positive
187,enggot lit perwakilen kalak karo i olimpiade nake,positive
188,minak karo ka nge si mantap na man nambari tersiher ginting margana,positive
189,"aluni anjar anjar, maka banci denga menang",positive
190,"song song udan, song song las, lalah udan pinakit e",negative
191,"selamat hari guru, ise guru kena si randal na ya ?",positive
192,"si rusur pek pek guru, mari pulung kita",negative
193,si rusur terlambat upacara mari ras kita,negative
194,let ka nge guru kena si pernontil nontil nake,neutral
195,"ku juma ras kurumah enca me pendahin ku, baci nge aku tampil ?",neutral
196,lenga kap banci gendang guro guro aron I kuta ku,neutral
197,"covid enda, erkai pe kita la baci ban na",negative
198,"kai kai sitik covid, kerina karna covid, ",negative
199,"batuk sitik, enggo kirana covid, hacimen sitik enggo kirana covid",negative
200,"adi kujuma kurumah kita, mungkin nge kena covid nake ?",neutral
201,"adi bas juma kita kena las nge lalap, me matei nge virus covid e",neutral
202,piga kalak nge kin kena reh e turang ?,neutral
203,baju kai pe pake na adi kalak banyak idah merga kerina,positive
204,banci kita jumpa lebe pal ?,neutral
205,"jambe nurung kerah, sedap kel me",positive
206,mari sitotoken ma ginting enda gelah menang,positive
207,anak ise kin si erlau lau ah ?,neutral
208,"kubaba cina ku pajak roga, telap kel, sekali erdaya cina, kena herga na ",positive
209,la bias sen man galar utang ,negative
210,"adi jumpa ras biang ula kam kiam, adi kiam ayak na nari, baci kam karatna",negative
211,"kai pe seh nukah na viral gundari, tinjui batang pisang pe viral",negative
212,ngeri tuhu ya dalan ku datas enda,negative
213,rempet merhat man rimo tanah karo,positive
214,baba luah ndu ya pak,neutral
215,ngeri kel bupati langkat ya,negative
216,"bupati langkat trending, tapi bas silamehuli alias kemali",negative
217,enggo pasti sakit adi tadingkin si nekelingi,negative
218,"lit nge pagi malem na, amin na gia kita enggo sirang ",neutral
219,dahinkenlah dahin ndu alu tutus,positive
220,babi panggang la ernanam sira,negative
221,gawah gawah ku berastagi tah,positive
222,kai pedah nande si asa gundari inget ndu ?,positive
223,tedeh ateku nande jine,positive
224,rimau tanah karo nari enggo seh I istana presiden,neutral
225,entebu kel rimo tanah karo e me,positive
226,"bujur, enggo alo alo ndu rimau kami ",positive
227,guru kai jei ndai bibi ndu ?,neutral
228,guruku melala si mehuli,positive
229,kuakap rata rata melihu kerina,positive
230,sitik enca si la mehuli kuakap,negative
231,guru ku SMP seh SMA mehuli kerina,positive
232,guru SD ku la mehuli,negative
233,guru SMP ras SMA ku pelit nilai kerina ,negative
234,wari simehuli man bandu kerina,positive
235,"kidu kidu, makan favorit khas kalak karo",negative
236,kerina wari simehuli nge kerina,positive
237,ise lit biang na ?,neutral
238,ise gelar biang kena kerina ?,neutral
239,arih lolo perban ate megogo,negative
240,kai nge nipi ndu ?,neutral
241,"nipiku berngi ndai sitik kel pe ha mehuli, ayak ayak biang aku",negative
242,"nipi ku pe la mehuli, tagut nipei kap ndu aku",negative
243,"mejile kuakap nipi ku, lit kap ndu si mbere sa aku tengguli",negative
244,"gelar biang ku, moogy",neutral
245,biang ku darangen,negative
246,"gelar biangku jopy, paksana ranak kitik ",neutral
247,aku lalit biang ku ,neutral
248,asakai gundari ongkos ku kabanjahe medan ?,neutral
249,merga kel tes PCR ya,negative
250,adi tes antibodi enggo murah,positive
251,"momo, man kam si lit motor na, ula lebe kam ku medan arah sembahe, sebab lit longsor",negative
252,"man kam si atena ku medan, la baci lewat sembahe, lit. longsor",negative
253,lenga lit si pesikap sa dalan ku medan ?,neutral
254,"sabtu minggu, dalan medan berastagi macat lalap",negative
255,"adi lit min ndai tol medan berastagi, entah la mindai macet kel",negative
256,"momo, lit truk terbalik I sibolangit nake",negative
257,baci lewat ku medan bang ?,neutral
258,piga wari nari tahun baru e? enggo tukur kena baju baru ?,neutral
259,"pesta bunga I berastagi, lyodra bintang tamu na ",neutral
260,Judika pe pernah jadi bintang tamu I pesta bunga berastagi,neutral
261,"kerja tahun sekeleinda lenga baci adu perkolong kolong, covid denga",negative
262,"ngayak ndigan lan covid e, enggo nandangi kerja tahun, lenga lit tanda tanda baci adu perkolong kolong",negative
263,"kerja tahun enda, I rumah saja kita nake",neutral
264,"kerja tahun lenga banci, tapi kerja kerja enggo baci, ",neutral
265,bulan piga kerja tahun kuta kena ?,neutral
266,"kerja tahun kuta singa bulan telu, ",neutral
267,kerja tahun kuta gajah bulan 10,neutral
268,adi kerja tahun kuta batu karang bulan 1,neutral
269,kurang riah na kerja tahun adi la lit gendang na,negative
270,"tasak ken rires man kerja tahun, isei lah man sa ?",neutral
271,"tasak ken cimpa man kerja tahun, isei lah man sa ?",neutral
272,kai lah ertina kerja tahun adi lalit si ku rumah ki rumah ,neutral
273,mari sitotoken gelah mis bene covid enda,positive
274,"o covid, laus kel kau ku kuta mu ya, ulanai reh ku kuta kami",neutral
275,"akap kena adi benaken gendang I kerja tahun, meningkat nge covid tanah karo entah lang ?",neutral
276,"adi meningkat covid kerna kerja tahun, gua maka la meningkat covid waktu pilkada ya",neutral
277,enggo 3 tahun enda lalap lenga banci er gendang bas kerja tahun,neutral
278,"enggo hampir bali ras bang toyib, 3 kali natal, 3 kali tahun baru lenga baci lalap er gendang bas kerja tahun",neutral
279,cuba kataken kai saja pangan pangan si lit pas kerja tahun I kuta kena ?,neutral
280,"adi lenga lit corona, rumah siapai pe lit rires waktu kerja tahun",neutral
281,"ku suan gadung, tapi mbuai pan menci, kai kap kena solusina ya ?",negative
282,"mon mon dat duit, mon mon tukur sira pe la dat kita kujuma enda",neutral
283,"tutusi sekolah, gelah la kam latih ku juma",positive
284,"ija pe kam tading, ula kam lupa er toto, gelah sehat kita kerina",positive
285,lit motor kabanjahe ku kualanamu ?,neutral
286,"tahun enda kol enggo baci langsung expor, emaka asakai kena per kol kol, enggo baci dat duit",positive
287,la gia mejile adi melias,neutral
288,mejile rupa lenga tentu mejile perbahanen,neutral
289,"rupa baci saja bagi lyodra, tapi perbahenenda bagi bengkala, man kadai ta",negative
290,"ula lupa ertoto gelah sehat sehat kita kerina, sebab enda musim covid",positive
291,"selamat hari jumat, man kam si beragama islam, enggo baci kam ersikap ku mesjid",positive
292,"hari minggu hari libur, ula kam lupa ku gereja ",positive
293,kai pe labo dalih pendahin asal halal ras dat sen,positive
294,"ula kel jemak ndu narkoba ena, mis kel kam bene ban da",negative
295,"adi la kam masuk penjara, masuk ku kuburen kam ban narkoba ena",negative
296,sitik nge lebe maka mbuai,positive
297,hati hati lah kam nak ku nandangi pergaulen kota jakarta,neutral
298,inget pedah orang tua bas kam perlajangen,positive
299,"ula tual, datas langit lit denga langit",negative
300,"si sampati kalakei, pagi lit ka nge si nampati kita",positive
301,"ngena ateku kena, impal,",positive
302,"ula kecewaken ndu aku, iba kekelengenku e",positive
303,"cakap jelma siterem, mbuai macam na, tapi perban cupingta dua ngenca la perlu begiken kerina",neutral
304,"adi tandai ndu ise bandu, la kam perlu sedih, la tandai ndu ise kam maka perlu kam sedih",negative
305,bene selera man ku perban mbau macik macik,negative
306,bene selera humorku perban bencong bencong,negative
307,"lalit sibujur bujur na, sada pe lang",negative
308,"bagi cina ras belacan, radu maka sedap",positive
309,"ula urusi usen kami, sebab la angka ndu e",negative
310,"elap imen ndu ena, mela bage",negative
311,"bene nderebih sen ku 57000, ulihken sitik ya",negative
312,"ate ngena tanpa batas, nggo pe lit rondong na asa anakah ndai terus, kedungen na rubati ia",negative
313,tedeh ateku whatsApp ndu ,neutral
314,"sendah , bulung gadung ras ikan asin pe sedap man",positive
315,"adi lalit pendahin, mesui takal",negative
316,pagi pagi denga pe enggo mengeluh ibas kegeluhen ,negative
317,"teman debat, labo teman rubat",neutral
318,mesui beltek ku perban terlambat man,negative
319,ula morahi perbahan kita kalak mesera,negative
320,"nandangi lebaren, tapi baju baru pe lenga tukur",neutral
321,meriah kel ngeria ndai nake ,positive
322,"langa dung tugas kuliah ku ndai pe, enggo suruh ndu ka aku ku jah ku jei",negative
323,"bas kerja tahun enda, mari siriahken perban enggo lanai lit covid ",positive
324,entabeh kel jambe nurung kerah enda ndai ya,positive
325,"sampati sitik aku ya, latih kel kuakap e",negative
326,langnga dung kutip rimo ndai perban udan nderebih,negative
327,"lenga kap kam man e, maka lemas kel",negative
328,lengga baci aku kerja ndu ndai ya,negative
329,"dalan ke berastagi macat kel, la kita baci muit",negative
330,"mehuli siban kalakei, lenga tentu mehuli ban na kita",neutral
331,kai siban bengkau maka endabeh man ya. ?,neutral
332,"seh kel melketna kesain ta si mbelang enda, la nai tersapui",negative
333,"buk pe enggo jomboon, langnga sempat pangkas",negative
334,adi rusursa ngoge si la huli,negative
335,danak danak erlajar ngawang,neutral
336,"ngalari sitik utang ndu ya, ula gaya ndu enca bagi pejabat",negative
337,"rumah pe enggo borohken ku bank, emaka siap siap lanai lit rumah ta",negative
338,"taneh ta pe lalit, utang pe mbuai, pengkebet pe lalit",negative
339,sekelak denga min ndai baci gawah gawah ku jah ku jei,positive
340,baskom ingan gulen ta ndai enggo pecah,negative
341,harus kita metenget i bas perdalanan,positive
342,jelma musil uis na pe melket,negative
343,"zaman enda, jelma musil kian musil",negative
344,anak ndai pe sel kel mbuai na imbang na I tiga,negative
345,enggo melket kesain ban sampah sampah,negative
346,"ulanai kena buang sampah ndeher tapiin, mbau ban na tapiin ta",negative
347,"ulanai padah sampati ndu aku, adi bola bola ken ndu aku",negative
348,"seluar pe enggo merigat, perban karat biang",negative
349,"biang ise adah, ngereng lalap. Terganggung kita ban na",negative
350,"mbarainda, biang ras babi, bebas bas kesain ta, gundari biang nari enca",neutral
351,"ise pe la merhat man sa, rimo macik",negative
352,melias metami ban mama ras mami,positive
353,"entebu nanam paula, lanai kita muas ban na",positive
354,dilaki ima ndai pe perjudi judi,negative
355,anak perana si gundari mbuai erjudi online,negative
356,"adi kin ia pemabuk ras perjudi, enggo me tadingke saja, lalit oratna lanjut",negative
357,"ciger wari, las wari sipasna minem paula manis",positive
358,aron I juma ta la teh na aurat,negative
359,"jumpa mata sanga kerja tahun kuta, lanjut ku kerja kerja, seh ku mata kerja ",positive
360,"man kam si erjabaten, sampah I pajak berastagi lenga lalap angkut",negative
361,"telu ia ersenina, teluna ka masuk penjara",negative
362,"lit ka, telu ersenina, teluna menganjang sekolah na",positive
363,"si gua pa pei lit jelma enda, lit simehuli, lit si metai",neutral
364,anak anak sigundari er game saja dahin na,negative
365,"mamang kap ate ku, anak perana, perbapaan, anak sekolah, ergame kerina, ",negative
366,"adi ergame dekahen, baci kari tading pelajaren e",negative
367,"pedah pedah si gundari, ""sangup maka dalani""",positive
368,"nande ras bapa na pe lanai begi ken na, apalagi kita",negative
369,"muat sen gundari sel kel serana, ",negative
370,"ula rusur sa ngeiluk, adi anak sekolah denga",negative
371,"rusur nari kam ku idah mabuk e, bapa sianu",negative
372,ula usur sa ndarat berngi adi lalit keperluen,negative
373,"las kel wari, mubang ras es si entabeh na e",positive
374,mari si pesikap kuta kemulihen ta,positive
375,teh putih pe bereken ndu enggo terakap kel kuakap,positive
376,"muas pe aku, pe diat ndu saja je, seh nari nge ukur ndu",negative
377,"teh telor ban man puding ta, gelah er sehat na",positive
378,"kita per per juma juma, la padah tual kel",negative
379,ngeri kel premen kota medan enda ya,negative
380,dalan ku kuta liang melas datas enggo mejile nake,positive
381,"enca enggo reh pak jokowi ku desa liang melas datas, dalan pe enggo di pesikap",positive
382,dalan ku kuta ku pe mejin denga,negative
383,morah kel ate kalak ndai,positive
384,"agina nuri nuti man banku, uga per bahanen kaka na si la terpakai",negative
385,"reh ia ku rumah janah tangis, perban meling ban dilaki na",negative
386,"jumpa ia ras kaka i patar tuak, ras ka mabuk",negative
387,"ndauh kel juma kena ndai pe, latih ku akap erdalan",negative
388,"juma pe adi la suani, enggo jadi kerangen",negative
389,juma bapa ras nande pe lenga sempat dahiken,negative
390,"kai pe ikan ras gulen si tasakken nande, entabeh kerina",positive
391,"kacepei pe ikan, adi kam nasak ken sa entabeh kuakap",positive
392,nakan ras cina kacang goreng pe entabeh ku akap adi kam si nasak ken sa,positive
393,"nakan si tasak ken ndu enggo tasak telu, lit medakdak, megelti ras matah",negative
394,"tarum er hp hp, enggo meseng ikan ndai ",negative
395,"ula er hp hp janah mba mba kereta, bahaya nake",negative
396,ola kam kari menyesel pudi wari enda ya,negative
397,ola padah sampati ndu kami,negative
398,pengelaman copet kalak jam tangan ku I jakarta,negative
399,"ngeri ningen kota medan, ngeriin copet pasar tanah abang",negative
400,"si nguda nguda anak perana, lalit sopan na",negative
401,"anji reh ku berastagi nake, meriah kel paksana",positive
402,"nai nari, kota kabanjahe ras berastagi bage lalap, lalit kemajuen",negative
403,"entah enggo piga kali ganti bupati, lalap kondisi kota ta lenga berubah",negative
404,bapa ras nande na pe merawa adi bagah nge,negative
405,"waktu kuliah sel kel malas na, gundari me enggo nanami mesera",negative
406,"erwin ras mima nge ngeiluk, aku si kena tuduh",negative
407,muat laus ku tiga retap ka pe selop ku,negative
408,"selop retap, baju melket , enggoh sel kel sekeleinda",negative
409,"nukur selop ate ku tiga, lupa baba sen, emaka mulih sekelei lanai er selop",negative
410,"ertoto kita man dibata, gelah lulus utbk enda",positive
411,"la tergejap enggo terang wari, mata lengnga medem",negative
412,siluar kaka na meribak ,negative
413,pake baju ras siluar ,positive
414,ceda ukur na perban tolak sidah cinta na,negative
415,"enggo baci benaken simehuli, maka baci kam jadi jelma",positive
416,kerina jelma baci ajari si mehuli,positive
417,"enggom me, baci nge ngadiken kam mabuk e",negative
418,"mulai zaman si adi, kam lalap mabuk, baci nge kam tobat e",negative
419,alu meriah ukur la benaken dahin ndu,positive
420,"perban malas ndu, juma ndu pe enggo peren kel",negative
421,"asal embusi, la ukurina rate mesui kala kei",negative
422,"enggo me baci kam robah e turang, ula nai usur usur ndu si la huli",negative
423,"oula asal ngerana, rate mesui si mbengikin sa",negative
424,"lalit otak na, asal ngerana pasti lit si rate mesui",negative
425,"ban biarna ngenen arimau, ndaraten pis na e",negative
426,"daripada rate mesui lalap, pangen sirang",negative
427,"ngelei I reba, regen na si erban sa megatel",negative
428,"bekas ku latih, terakep kel akap ndu ya",positive
429,bu erna guru SD ku si baik na kel,positive
430,"bagi sura sura ndu tuhu ya, baci kam lulus cpns ndai",positive
431,"temen pe palangen, buniken ka baju ta pas ridi I tapiin",negative
432,kai nge daya dayaen ndu bibi?,neutral
433,"ngulai lah manuk man pangan kalimbubu ndu, maka entabeh kap na man",positive
434,"la ter asuhi anak arimau, terkam na kari kita",negative
435,"sia sia enggo sekolah, lalit pemeteh ndu pe",negative
436,melas kuakap ngemo i juma kalak,negative
437,"aku si ngemo, kami si engkeriken sen ",negative
438,baba saja si mehuli mulih ya,positive
439,tukur HP mbaru gelah baci sekolah online,positive
440,"bapa mbayu I reba, nande ngemo I juma kalak",neutral
441,tiap wari lit ndarat sen man anak sekolah,negative
442,upah ndu encari baci nge perpulungi sitik sitik,positive
